,Date,Player,Item,DKP
2790,6/15,Valerick,Cauterizing Band,51
1927,1/25,Spooqe,Desecrated Shoulderpads,51
2525,5/10,Vav,Sadist's Collar,51
2334,4/5,Jimbo,Malice Stone Pendant,51
3207,8/30,Yumi,Wand of Fates,51
2342,4/6,Jimbo,Major Rejuv Recipe,51
37,,Xorkal,Circle of Applied Force,50
651,,Spicy,Polar Helmet,50
344,,Lerok,HEad of Nef,50
3036,8/2,Merrlin,Wand of Fates,50
439,,Ismagu,Claw of the Frost Wyrm,50
2771,6/15,Ginblossom,Stormrage Belt,50
3025,8/2,Begs,Band of Unanswered Prayers,50
834,,Flixter,Loatheb's Reflection,50
717,,Cypris,Schematic: Force Reactive,50
2360,4/12,Inu,Phylactery,50
414,,Gamuza,Desecrated Spaulders,50
151,,Gamuza,Cloak of the Shrouded Musts,50
2795,6/21,Kushbomb,Desecrated Gloves,50
3138,8/17,Krinos,Qiraji Bindings of Dominance,50
1207,,Wumbo,Soulstring,50
658,,Zhenduo,Desecrated SPaulders,50
2451,4/26,Nuranfu,Gluth's Missing Collar,50
649,,Manowar,Ghoul Skin Tunic,50
2035,2/9,Inuyt,Boots of the Fallen Hero,50
313,,Gamuza,Desecrated Wristguards,50
189,,Hunten,Icy Scale Coif,50
91,,Dinkkle,Crystal Webbedf Robe,50
2449,4/26,Inu,Widow's Remorse,50
831,,Brockstar,Preceptor's Hat,50
73,,Charsi,Vek'nilash's Circlet,50
3153,8/23,Gauss,Leggings of Apocalypse,50
586,,,Desecrated Sabatons,50
584,,Kulmirik,Desecrated Sandles,50
2297,3/29,Sohtank,Desecrated Helmet,50
2676,6/1,Silly,Band of Forced Concentration,50
872,,Sardinas,qiraji';s bindings of dominance,50
2392,4/13,Ccheetzz,"Warrior t1 belt, wrists, helm of wrath",50
230,,Sardinas,Nef's Head,50
2313,3/30,Holyskank,Imperial Qiraji Regalia,50
520,,Rella,The Castigator,50
59,,Gamuza,Ancient Petrified LEaf,50
2282,3/29,Throndil,Sapphiron's Left Eye,50
2717,6/7,Brockstar,The Soul Harvester's Bindings,50
2982,7/26,Yumi,The Phylactery of Kel'Thuzad,50
2681,6/1,Holyskanl,Mantle of the Blackwing Cabal,50
3029,8/2,Silly,Resilience of the Scourge,50
2568,5/17,Banjotooie,Maexxna's Fang,50
174,,Keen,Husk of the Old God,50
21,,Alishia,Sadist's Coller,50
25,,Thorbardin,Loatheb's Reflection,50
3055,8/3,Legits,Formula: Enchant Gloves - Healing Power,50
223,,Respira,Dragonstalker's Spaulders,50
2794,6/21,Kushbomb,Desecrated Bindings,50
70,,Keen,Qiraji Bindings of Dominance,50
2954,7/19,Blt,Band of the Inevitable,50
443,,Sardinas,ring of redemption,50
1060,,Respira,Eye of Nerub,50
1482,,Respira,Sceptor of the False Prophet,50
1445,,Silly,Ring of Faith,50
1928,1/25,Respira,Desecrated Sandals,50
1613,12/22,Silly,Ouro's Intact Hide,50
559,,Loopfish,Icy Scale Coif,50
1627,12/28,Nuranfu,Leggings of teh Grand Crusade,50
1960,2/1,Throndil,Warmth of Forgiveness,50
2021,2/8,Freightdawg,Plague Bearer,50
1183,,Kulmirik,fetish of the,50
1061,,Sayapologize,Desecrated Legplates,50
2150,3/2,Legits,Imperial Qiraji Armaments,50
1043,,Inu,Ouro's Intact Hide,50
2664,5/31,Holyskank,Necro-Knight's Garb,50
2133,3/1,Sandown,Touch of Frost,50
1935,1/26,Cateven,Ring of Emperor Vek'lor,50
1609,12/22,Silly,Qiraji Bindings of Command,50
1147,,Zhenduo,Libram of Light,50
1695,12/29,Don,Drillborer Disk,50
1608,12/22,Silly,Qiraji Bindings of Command,50
1839,1/18,Cambridge,Soulseeker,50
1311,,Raphael,Cloak of Suturing,50
992,,Kookeyz,Loatheb's Reflection,50
1328,,Respira,Formula: Enchant Cloak - Subtlety,50
534,,Spicy,Maexxna's Fang,50
996,,Raphael,The Widow's Embrace,50
3137,8/17,Krinos,Qiraji Bindings of Dominance,50
1977,2/1,Nuranfu,Band of the Inevitable,50
1518,,Respira,Cloak of the Scourge,50
1717,1/4,Ezekyle,Wand of Fates,50
1719,1/4,Zira,Eye of Nerub,50
394,,Sardinas,Carapace of the Old God,49
2048,2/15,Hamtaro,Sapphiron's Left Eye,49
338,,Ahimelech,Stormrage Pauldrons,49
513,,Ahimelech,Cloak of Suturing,49
1218,,Lucen,Band of the Inevitable,49
3113,8/16,Hamtaro,Leggings of Apocalypse,49
742,,Hamtaro,Desecrated Headpiece,49
2624,5/24,Hamtaroi,The Soul Harvester's Bindings,49
554,,Fatjaws,Desecrated Helmet,49
759,,Hamtaro,Signet of the Fallen Defender,49
745,,Ahimelech,Necklace of Necropsy,49
2056,2/15,Hamtaro,Necklace of Neckropcy,49
516,,Hamtaro,Desecrated Spaulders,49
385,,Sardinas,Qiraji Bindings of Dominance,49
1706,1/4,Hamtaro,Boots of Displacement,49
1867,1/19,Ahimelech,Boots of teh Shadow Flame,49
55,,Develon,Blastershot Launcher,49
1403,,Tukobonk,Scrolls of Blinding Light,48
3224,8/30,Hamtaro,Leggings of Apocalypse,48
126,,Urijah,Shadow Wing Focus Staff,47
3064,8/9,Hamtaro,Phylacery,47
1358,,Sayapologize,Boots of Displacement,46
285,,Thunderhamer,Carapace of the Old God,46
187,,Hunten,Desecrated Girdle,46
1740,1/5,Night,Talesman of Ephemeral Power,45
405,,Gamuza,Desecrated Handguards,45
587,,Blackstabath,Polar Helmet,45
1452,,Kookeyz,Power of the Scourge,45
920,,Rella,Claw of the Frost Worm,44
1646,12/28,Plated,Necklace of Necropsy,44
2172,3/8,Nineteenxx,Claw of the Frost Worm,44
791,,Mav,Angelista's Grasp,44
418,,Mavmoney,Desecrated Belt,44
2768,6/14,Plated,end of dreams,44
2247,3/22,Nineteen,Sadist's Collar,43
2484,5/3,Hamtaro,Fortitude of the Scouge,43
2561,5/17,Tofra,Resilience of the Scourge,43
1663,12/29,Tofra,Claw of Chromaggus,43
2029,2/9,Tukobonk,Royal Qiraji Belt,43
926,,Fatjaws,Boots of Displacement,43
380,,Yumiki,Satura's Might,43
1673,12/29,Hamtaro,Cloak of Firemaw,43
668,,Mav,Preceptor's Hat,42
2913,7/12,Spooge,Malace Stone Pendant,42
2820,6/22,Morty,Mantle of Wicked Revenge,42
2445,4/26,Yumi,Resilience of the Scourge,41
2357,4/6,sohtank,lokamir romahtis,41
2060,2/15,Jimbo,Glacial Headdress,41
1188,,Yumiki,don rodrigo's lost hat,41
688,,Yumi,Robes of the Guardian Spirit,41
2055,2/15,Nineteenxx,Cloak of the Scourge,41
1971,2/1,Cumin,Sadist's Collar,41
1689,12/29,Silly,Aged Core Leather Gloves,41
411,,Yumiki,Spire of Twilight,41
85,,Volo,Desecrated Bindings,41
287,,Yumiki,Grasp of the Old God,41
172,,Paddington,Skin of the Great Sandworm,41
430,,Ismagu,Desecrated Gauntlets,41
492,,Darkphate,Amulet of Foul WArding,40
3063,8/3,Inuyasha,Mana Igniting cord & T1 hunter bracers,40
2607,5/24,Medium,Cloak of the Scourge,40
1682,12/29,Magnolia,Crown of Destruction,40
2431,4/20,Ginblossom,Stormrage Handguards,40
2407,4/19,Easykheal,Brimstone Staff,40
2430,4/20,Ginblossom,Stormrage Pauldrons,40
158,,Sardinas,Legplates of Blazing Light,40
2400,4/19,Nuranfu,Fortitude of the Scouge,40
185,,Flixzter,Crystal Webbed Robe,40
830,,Keen,Desecrated Belt,40
2036,2/9,Nuranfu,Boots of Unwavering Will,40
2411,4/19,Easykheal,Desecrated Robe,40
2798,6/21,BLT,Wand of Fates,40
1384,,Silly,Desecrated Shoulderpads,40
536,,Ismagu,Desecrated Sabatons,40
316,,Thunderhamer,Sadist's Collar,40
1398,,Kentoo,Shroud of Pure Thought,40
927,,Zhenduop,Desecrated Boots,40
239,,Darkphate,Dragonstalker's Legguards,40
2294,3/29,Silly,Claymore of Unholy Might,40
2330,4/5,Morty,Sadist's Collar,40
553,,Huinten,Desecrated Boots,40
1103,,Sheepya,Cloak of the Brood Lord,40
635,,Kulmirik,Core Hound Tooth,40
1354,,Wumbo,Aged Core Leather Gloves,40
303,,Kulmirik,Desecrated Circlet,40
786,,Oom,Firemaw's Clutch,40
1397,,Tukobonk,Elementium Reinforced Bulwark,40
2123,3/1,Hamtaro,Soulseeker,39
29,,Thunderhamer,Dragonfang Blade,39
655,,Wumbo,Desecrated Breastplate,39
1668,12/29,Hamtaro,Dragonfang Blade,39
2886,7/6,Tofra,Ring of the Martyr,39
3216,8/30,Yumi,Desecrated Sandals,39
2136,3/1,Cambridge,Wand of Fates,39
2524,5/10,Yumi,The End of Dreams,39
2746,6/8,hamtaro,enchant formula - healing to gloves,39
3011,7/27,Prast,Salamander Scale Pants,39
515,,Darkphate,Icy Scale Spaulders,39
1970,2/1,Spooge,Wand of the Whispering Dead,38
2295,3/29,Jimbo,Gem of Nerubis,38
336,,Minda,Pauldrons of Transcendence,38
1983,2/1,Oom,Desecrated Boots,37
1569,12/21,Yumi,Resilience of the Scourge,37
1712,1/4,Hamtaro,Resilience of the Scourge,37
1186,,Valerick,ouro's Intact Hide,37
1332,,Valerick,Ooze-Ridden Gauntlets,37
1098,,Valerick,Pauldrons of Wrath,37
281,,Sardinas,Skin of the Great Sandworm,37
322,,Paddington,Mantle of the Blackwing Cabasl,37
2037,2/9,Hamtaro,Healing power to gloves,37
2073,2/16,Mallanim,Qiraji Bindings of Command,36
171,,Thunderhamer,Ouro's Intact Hide,36
78,,Yumiki,Burrower Bracers,36
2205,3/15,Cambridge,Resilience of the Scourge,36
1314,,Blackhanded,Desecrated Pauldrons,36
1387,,Respira,Desecrated Legplates,35
77,,Zacharillo,Skin of the Great Sandworm,35
2943,7/13,Chetz,OEB,35
507,,Cypris,The Burrower's Shell,35
562,,Hunten,Desecrated Legguards,35
1684,12/29,Wumbo,Azuresong Mageblade,35
412,,Fatjaws,Desecrated Waistguard,35
86,,Zacharillo,Leggings of the Grand Crusader,35
173,,Manowar,Larvae of the Great Worm,35
122,,Mavmoney,Black Ash Robe,35
1893,1/19,Jack,Netherwind Robes,35
1856,1/18,Throndil,Desecrated Spauldewrs,35
1720,1/4,Nightsummon,Desecrated Robe,35
874,,Lucen,skin of the great sandworm,34
3250,8/31,Rageous,Brutality Blade,34
514,,Mavmoney,Desecrated Shoulderpads,34
741,,Mav,Desecrated Circlet,34
2193,3/9,Legits,Lifegiving Gem,34
3005,7/27,Prast,Shroud of Pure Thought,33
2573,5/17,Valerick,Desecrated Breastplate,33
1857,1/18,Spooge,Desecrated Circlet,33
884,,Lucen,qiraji';s bindings of dominance,33
3186,8/24,Hamtaro,Bracers of Arcane Accuracy,33
3185,8/24,Hamtaro,Band of Forced Concentration,33
1158,,Yumi,Preceptor's Hat,33
974,,Brockstar,Sash of Whispered Secrets,33
2963,7/19,Night,Resilience of the Scourge,33
1865,1/19,Glowork,Head of Nef,33
3085,8/10,Tuko,Head of Nefarian,33
1180,,Valerick,Vek'nilash's Circlet,33
3102,8/10,Tina,Belt of Transcendence,33
404,,Zhenduo,Desecrated Handguards,33
2889,7/6,Tuko,Pauldrons of the Unrelenting,33
406,,Toframadur,Ring of the Eternal Flame,33
2907,7/12,Tuna,Sadist's Collar,33
280,,Yumiki,Ouro's Intact Hide,33
895,,Tofra,Desecrated Cic,33
2997,7/27,Tuko,Cloak of Draconic Might,33
2932,7/13,Bombkush,Lifegiving Gem,33
883,,Tiric,qiraji';s bindings of command,32
1187,,Kibbles,robe of the guardian saint,32
2337,4/5,Spooge,Necro-Knight's Garb,32
1936,1/26,Inu,Imperial Qiraji Regalia,31
691,,Yumi,Ring of the Martyr,31
2113,2/23,Silly,ERB,31
2163,3/2,Ismago,Carapace of the old god,31
2772,6/15,Korzeth,Archimitros Ring of Reconing,31
1468,,Jimbo,Desecrated Robe,31
50,,Kulmirik,Ring of Spell Power,31
1529,,Jimbo,Desecrate Shoulderpads,31
512,,Tof,Desecrated Shoulderpads,31
1337,,Yumi,Gloves of the Messiah,31
166,,Paddington,Vek'lor's Diadem,31
1538,,Donlimon,Essence of the Pure Flame,30
1925,1/25,Jack,Desecrated Spaulders,30
1501,,Don,Vek'nilash's Circlet,30
784,,Oom,Netherwind Gloves,30
1375,,Sayapologize,Toxin Injector,30
1884,1/19,Jack,Netherwind Pants,30
1658,12/29,Donlimon,Head of Nef,30
1551,,Legits,Flameguard Gauntlets,30
1568,12/21,Nuranfu,Glyph of Deflection,30
295,,Sardinas,Icebane Helmet,30
1860,1/18,Throndil,Desecrated Legguards,30
1677,12/29,Don,Emberweave Leggings,30
28,,Keen,Mantle of the Blackwing Cabal,30
1055,,Kookeyz,Band of the Inevitable,30
1897,1/25,Jack,Soulseeker,30
1845,1/18,Throndil,Resilience of the Scourge,30
1603,12/22,Donlimon,Cloak of the Swarmguard,30
1831,1/12,Ahimelech,Flamewalker Legplates,30
1537,,Tukobonk,Onslaught Girdle,30
2364,4/12,Silly,Resilience of the Scourge,30
1562,12/21,Biggerbill,Boots of Displacement,30
2381,4/13,Fatjaws,Guise of the Devourer,30
2499,5/4,Chetz,claw of chromaggus,30
983,,Ccheetzz,Desecrated Waistguards,30
718,,Hetfield,Schematic: Force Reactive,30
309,,Keen,Gem of Nerubis,30
1930,1/25,Jack,Desecrated Boots,30
2605,5/24,Ismago,Icebane Pauldrons,30
565,,Ismagu,Touch of Frost,30
2481,5/3,Clonkx,Ring of the Dreadnaught,30
1553,,Legits,Obsidian Edged Blade,30
564,,Wumbo,Ghoul Skin Tunic,30
548,,Hunten,Band of Reanimation,30
2707,6/1,Hadria,Schematic: Force Reactive Disk,30
875,,Donlimon,ouro's Intact Hide,30
864,,Oom,Robes of the battleguard,30
1317,,Raphael,Claymore of Unholy Might,30
3018,7/27,Doyness,OEB,30
3095,8/10,Bombkush,"Ashkandi, Greatsword of the Brotherhood",30
1003,,Keen,Glacial Headdress,30
1001,,Raphael,Leggings of the Grand Crusader,30
2191,3/9,Legits,Head of Nef,30
3135,8/17,Rageous,Ouro's Intact Hide,30
928,,Wumbo,Fortitude of the Scourge,30
233,,Ahimelech,Salamander Scale Pants,29
762,,Hamtaro,Desecrated Boots,29
977,,Lucen,Felhjeart Robes,29
1543,,Prastinna,Cauterizing Band,29
1223,,Nieth,Gem of Nerubis,29
748,,Hamtaro ,Desecrated Legguards,29
1202,,hamtaro,choker of the firelord,29
2315,3/30,Hamtaro,Formula: Enchant Cloak - Stealth,29
1485,,Hamtaro,Robes of the Guardian Saint,29
2232,3/16,Hamtaro,Subtlety,29
2714,6/7,Hamtaro,Fortitude of the Scourge,29
881,,Lucen,Husk of the Old God,29
860,,Keen,Ring of Swarming Thought,28
1647,12/28,Biggerbill,Desecrated Legplates,28
1206,,Hamtaro,Sadist's Collar,28
1876,1/19,Ahimelech,Cloak of Firemaw,28
3035,8/2,Begs,The End of Dreams,28
1922,1/25,Jack,Desecrated Girdle,28
1782,1/11,Ahimelech,Brimstone Staff,28
1825,1/12,Hamtaro,Vek'lor's Diadem,27
395,,Dinkkle,Husk of the Old God,27
2948,7/19,Begs,Stygian Buckler,27
3031,8/2,Begs,Ring of Redemption,27
367,,Mavmoney,Staff of Dominance,27
1307,,Blackhanded,Fortitude of the Scourge,27
1065,,Flixter,Ring of the Dreamwalker,27
3054,8/3,Sky,Ring of Swarming Thought,27
2949,7/19,Mallanim,Widow's Remorse,27
2914,7/12,Dolphin,Touch of Frost,27
2075,2/16,Spooge,Vek'nilash's Circlet,27
296,,Dinkkle,Desecrated Belt,27
2971,7/20,Begas,Mark of C'Thun,27
876,,Lucen,Burrower Bracers,27
3112,8/16,Begs,Fortitude of the Scourge,27
3104,8/10,Deyada,Mantle of the Blackwing Cabal,27
2494,5/3,Hamtaro,Crystal Webbed Robe,26
1382,,Valerick,Icebane Pauldrons,26
3133,8/17,Dwarflord,Carapace of the Old God,26
1288,,Magicmike,Ring of Spell Power,26
2373,4/12,Dolphin,Polar Helmet,26
2366,4/12,Dolphin,The Castigator,26
1883,1/19,Jack,Netherwind Mantle,26
2179,3/8,Sayas,Polar Helmewt,26
2844,6/28,Mallanim,Polar Helmet,26
74,,Yumiki,Boots of Epiphany,26
2883,7/6,Kindbud,Mark of C'Thun,26
3218,8/30,Ismago,GST,26
2325,4/5,Malekk,Claw of the Frost Worm,26
157,,Xorkal,Angelista's Touch,26
379,,Isoncooldown,Angelista's Touch,26
1122,,Brock,Dragon's Blood Cape,26
1823,1/12,Mallanim,Qiraji Bindings of Command,26
633,,Wumbo,Blastershot Launcher,25
709,,Sandi,Flameguard Gauntlets,25
2996,7/27,Valerick,The Untamed Blade,25
312,,Brockstar,Malice Stone Pendant,25
2593,5/18,Throndil,Drake Talon Pauldrons,25
951,,Inuyasha,Head of Nef,25
2384,4/13,Throndil,Legplates of Blazing Light,25
1066,,Manowar,Claw of the Frost Worm,25
3181,8/24,Whitenoise,Bloak of the Brood Lord ,25
1070,,Biggerbill,Desecrated Breastplate,25
2043,2/9,Spooqe,TOEP,25
291,,Xorkal,Desecrated Sabatons,25
2538,5/11,Lightbornne,Belt of the Fallen Emperor,25
1629,12/28,Respira,Glacial Mantle,25
1260,,Oom,Netherwind Bindings,25
2086,2/22,Nightsurviv,Resilience of the Scourge,25
2672,5/31,Bltoaster,Desecrated Sandals,25
3254,,Tuko,Sapphiron's RIght Eye,25
705,,Legits,Gauntlets of Might,25
1105,,Foxeyez,Head of Nef,25
2543,5/11,Respira,Imperial Qiraji Regalia,25
641,,Rocksteady,Desecrated Bracers,25
1881,1/19,Jack,Netherwind Boots,25
773,,Kulmiriok,Frostfire Ring,25
3182,8/24,Bombkush,Helm of Endless Rage,25
2413,4/19,Easykheal,Desecrated Shoulderpads,25
2915,7/12,Lightbournne,Stygian Buckler,25
1278,,Drendall,Malfurion's Blessed Bulwark,25
266,,Ezekyle,Leggings of the Festering Swarm,25
2704,6/1,Respira,Fire Runed Grimoire,25
1783,1/11,Dane,Touch of Frost,25
277,,Quietplz/howdruidofme,Qiraji Execution Bracers,25
1243,,Respira,Prestor's Talisman of Connivery,25
2385,4/13,Respira,Ouro's Intact Hide,25
806,,Tiric,Brutality Blade,25
1901,1/25,Rogueisme,Claw of the Frost Wyrm,25
1281,,Oom,Netherwind Mantle,25
2699,6/1,Respira,Robe of Volatile Power,25
132,,Hunten,GIantstalker's Breastplate,25
2641,5/25,Shreds,Imperial Qiraji Armaments,25
2495,5/3,Koneko,Desecrated Breastplate,25
648,,Manowar,Desecrated Sabatons,25
2298,3/29,Sohtank,Desecrated Breastplate,25
3056,8/3,Lightborn,Ouro's Intact Hide,25
3047,8/3,Shredz,Ring of the Martyr,25
2875,7/5,Ezekyle,Loatheb's Reflection,25
496,,Sandi,Robes of the Guardian Spirit,25
386,,Zekrof,Cloak of the Golden Hive,25
2154,3/2,Gamuza,Barb of teh Sand Reaver,25
240,,Respira,Dragonstalker's Legguards,25
947,,Gamuza,"Ashjre'thul, Crossbow of Smiting",25
504,,Rocksteady,Qiraji Execution Bracers,25
826,,Manowar,Desecrated Helmet,25
522,,Nieth,Desecrated Girdle,25
853,,Respira,Fortitude of the Scourge,25
3195,8/24,Valerik,Choker of the Fire Lord,25
663,,Wumbo,Desecrated Helmet,25
1909,1/25,Ismagu,Polar Shoulder Pads,25
2335,4/5,Hadria,Loatheb Reflection,25
3193,8/24,Valerik,Accuria,25
3126,8/17,Inu,Robes of the Guardian Saint,25
2868,7/5,Haka,Fortitude of the Scourge,25
2258,3/22,Gamuza,Descrated Boots,25
1192,,Respira,Qiraji binding of command,25
1834,1/12,Ahimelech,Majur Rejuvenation Recipe,25
1592,12/22,Dane,Amulet of Foul Warding,25
3087,8/10,Lightborn,Wristguards of Stability,25
1949,1/26,Brockstar,Fire power to gloves,25
2308,3/30,Inu,Fetish of the Sand Reaver,25
2157,3/2,legits,ternary mantle,25
1523,,Respira,Ghoul Skin Tunic,25
2896,7/6,Rogueisme,mana igniting cord,25
879,,Inuyashama,carapace of the Old God,25
1854,1/18,Morty,Desecrated Breastplate,25
2189,3/9,Legits,Boots of the Shadow Flame,25
2283,3/29,Sohtank,Glyph of Deflection,25
1244,,Drendall,Boots of the Shadow Flame,25
2197,3/9,Legits,Gauntlets of Wrath,25
2774,6/15,Valerick,Red Dragonscale Protector,25
1833,1/12,Respira,Majur Rejuvenation Recipe,25
437,,Manowar,Desecrated Breastplate,25
413,,Manowar,Desecrated Waistguard,25
2895,7/6,Lightborn,Brutality Blade,25
215,,Mavmoney,Bracers of Arcane Accuracy,24
526,,Mav,Desecrated Leggings,24
942,,Brock,Ringo's Blizzard Boots,24
383,,Hyrazz,Mantle of Wicked Revenge,24
301,,Mavmoney,Desecrated Bindings,24
193,,Mavmoney,Necro-Knight's Garb,24
936,,Lucen,Bracers of Arcane Accuracy,24
795,,Mav,Head Nefarian,24
939,,Mav,Shadow Wing Focus Staff,24
623,,Ismagu,Aged Core Leather Gloves,23
911,,Nieth,Desecrated Legguards,23
1918,1/25,Yumi,CUM,23
2042,2/9,Dane,Something,23
1827,1/12,Hamtaro,Ouro's Intact Hide,23
3127,8/17,Spooge,Necklace of Purity,23
1870,1/19,Minazuki,Shadow Wing Focus Staff,23
2793,6/21,Kibbles,Touch of Frost,23
3062,8/3,Yumi,Bindings of Command,23
551,,Yumiki,Midnight Haze,22
2151,3/2,Tuko,Imperial Qiraji Armaments,22
2725,6/8,mallanim,brut blade,22
3067,8/9,Galavant,Sapphiron's Right Eye,22
2603,5/18,Valerick,Something,22
2822,6/22,Tukobonk,Sartura's Might,22
2190,3/9,Ismagu,Archimetros Ring of Reckoning,22
3214,8/30,Yumi,Desecrated Circlet,22
3221,8/30,Truck,Desecrated Sabatons,22
2332,4/5,Spooge,Preceptor's Hat,22
1645,12/28,Plated,Glyph of Deflection,22
1635,12/28,Plated,Cloak of the Scourge,22
1320,,Blackhanded,Desecrated Bracers ,22
1236,,Lucen,Desecrated Spaulders,22
2753,6/14,Plated,Resilience of the Scourge,22
1982,2/1,Clonkx,Desecrated Sabatons,22
2754,6/14,Plated,Fortitude of the Scourge,22
1622,12/28,biggerbvill,Sadist's COllra,22
2152,3/2,Tuko,Vek'lor's Gloves of Devestation,22
2514,5/10,Koneko,Bonescythe Ring,22
2159,3/2,Spooge,Bindings of Command,22
1877,1/19,Yumi,Angelista's Grasp,21
1319,,Blackhanded,Desecrated Waistguards,21
2755,6/14,Kibbles,Ring of Faith,21
1081,,Yumiki,Crystal Webbed Robe,21
3003,7/27,Tuko,Malfurion's Blessed Bulwark,21
1517,,Silly,Preceptor's Hat,21
1938,1/26,Remembrancer,Regenerating Belt of Vek'nilash,21
3020,7/27,Urijah,Heavy Dark Iron Ring,21
53,,Rogueisme,Aged Core Leather,21
397,,Sardinas,Grasp of the Old God,21
866,,Fatjaws,Cloak of the golven hive,21
2336,4/5,Sohtank,Midnight Haze,21
2261,3/22,Jimbo,Desecrated Leggings,21
154,,Paddington,Pendant of the Qiraji Guardian,21
218,,Quietplz,Claw of the Black Drake,21
1868,1/19,Ahimelech,Elementium Threaded Cloak,21
2596,5/18,Shadowcharm,Dragonstalker's Belt,21
1383,,Raphael,Spaulders of the Grand Crusader,21
2209,3/15,Prastinna,Spire of Twilight,21
2011,2/8,Todger,Fortitude of the Scourge,21
1836,1/18,Yumi,Desecrated Boots,20
3116,8/16,Ezekyle,Ring of Spirutual Fervor,20
1813,1/12,Throndil,Angelista's Charm,20
1029,,Yumi,Qiraji Bindings of Dominance,20
3093,8/10,Svindrix,Wristguards of True Flight,20
2293,3/29,Nuranfu,Icebane Pauldrons,20
3046,8/3,Shredz,Regenerating Belt of Vek'nilash,20
1022,,Oom,Leggings of the Festering swarm,20
2404,4/19,Throndil,Death's Bargain,20
865,,Alphasmoke,Mantle of Wicked Revenge,20
2252,3/22,Daryass,Ring of the Cryptstalker,20
3208,8/30,Truck,Desecrated Pauldrons,20
2227,3/16,Daryas,Barb of the Sand Reaver,20
1964,2/1,Keen,Plagueheart Ring,20
2259,3/22,Daryass,Desecrated Tunic,20
3001,7/27,Doyness,Head of Nefarian,20
1059,,Kookeyz,Desecrated Leggings,20
2164,3/2,Silly,Vek'nilash's Circlet,20
1819,1/12,Throndil,Gloves of the Redeemed Prophewcy,20
2414,4/20,Nuranfu,Earthshaker,20
2877,7/5,Ismagu,Claymore of Unholy Might,20
505,,Wumbo,Ouro's Intact Hide,20
1333,,Sardinas,Thick Qirajihide Belt,20
1915,1/25,Kibbles,Brimstone Staff,20
1835,1/18,Spooge,Desecrated Sandals,20
1252,,Esseran,Aurastone Hammer,20
2523,5/10,Silly,Crystal Webbed Robe,20
2586,5/18,Shadowcharm,Giantstalker's Boots,20
2078,2/16,Inuyasha,Something,20
2687,6/1,Irongnome,Sabatons of Wrath,20
2077,2/16,Keeeeeeeen,Enchant shadow,20
1664,12/29,Throndil,Mantle of the Blackwing,20
537,,Rella,Desecrated Sabatons,20
2420,4/20,Ehlana,Nef head,20
2515,5/10,Aetherium,Ring of the Dreadnaught,20
730,,Valerick,Cloak of the Shrowded Mists,20
2238,3/16,Throndil,Flameguard Gauntlets,20
2698,6/1,Irongnome,Blastershot Launcher,20
2102,2/22,Eedz,Descecrated Tunic,20
2115,2/23,Throdnil,Shroud of Pure Thought,20
1443,,Ismagu,Boots of Displacement,20
1747,1/5,Throndil,Cloak of Firemaw,20
2101,2/22,Silly,Desecrated Legplates,20
1109,,Kibblers,Leggings of Transcendence,20
723,,Legits,Breastplate of Might,20
2000,2/2,Sandi,Eschkander's Right Claw,20
2988,7/26,Nuranfu,Touch of Frost,20
293,,Hamtaro,Desecrated Girdle,20
3199,8/30,Truck,Desecrated Gaunet,20
753,,Hunten,Desecrated Wristguards,20
237,,Kulmirik,Brutality Blade,20
97,,Manus,Necro-Knight's Garb,20
2648,5/25,Rogueisme,Arcanist Belt,20
777,,Zekrof,Dragonfang Blade,20
2891,7/6,Kindbud,Imperial Qiraji Armaments,19
2230,3/16,Tuko,RIng of the Devoured,19
2175,3/8,Nineteenxx,Fortitude of the Scourge,19
98,,Volo,Necro-Knight's Garb,19
147,,Urijah,Cenarion Vestments,19
1824,1/12,Hamtaro,Qiraji Bindings of Command,19
2572,5/17,Hamtaro,Warmth of Forgiveness,19
744,,Hamtaro,Noth's Frigid Heart,19
1318,,Hamtaro,Hailstone Badnd,19
747,,Hamtaro,Loatheb's Reflection,19
345,,Urijah,Cenarion Boots,19
3004,7/27,Tuko,Taut Dragonhide Belt\,19
1679,12/29,Fatjaws,Interlaced Shadow Jerkin,19
2253,3/22,Cambridge,Brimstone Staff,19
3205,8/30,Dwarflord,Desecratred Legplates,19
1583,12/21,Tuna,Desecrated Breastplate,18
2185,3/8,Spooge,Desecrated Circlet,18
2051,2/15,Tuna,Leggings of Apocalypse,18
3267,,Gyro,Desecrated Gauntlets,18
2645,5/25,Valerick,Carapace of the Old God,18
1546,,Mav,Felheat Robes,18
3125,8/17,Tuko,Hive Tunneler's Boots,18
198,,Manowar,Desecrated Pauldrons,18
2880,7/5,Haka,Maul of the Redeemed Crusader,18
141,,Urijah,Cenarion Spaulders,17
378,,Plated,Angelista's Charm,17
754,,Hamtaroi,Polar Shoulder Pads,17
3103,8/10,Tuko,Bloodfang Belt,17
2433,4/20,Ccheettzz,Pauldrons of Wrath,17
447,,Ahimelech,Mantle of the Blackwing Cabasl,17
666,,Plated,Libram of Light,17
2438,4/20,Tuko,something,17
3008,7/27,Tuko,Taut Dragonhide Shoulderpads,17
2467,4/27,Skylarke,Gloves of the Immortal,17
2412,4/19,Skylarke,Desecrated Robe,17
2592,5/18,Valerick,Crown of Destruction,17
2722,6/7,Plated,Stygian Buckler,17
1418,,Hamtaro,Core Hound Tooth,17
